x,y,U,V,p,patch
0.3365,-0.06,39.987,0.14878,-527.54,internal
0.15256,-0.05375,0.0,0.0,-803.19,internal
0.97644,0.0045,0.0,0.0,164.53,internal
0.87425,-0.01775,14.904,2.2875,8.735,internal
0.8165,0.024625,18.092,-1.8681,-39.06,internal
0.4085,0.0585,37.751,-1.5339,-445.93,internal
0.77506,0.029,0.0,0.0,-103.74,internal
0.64288,-0.042,0.0,0.0,-224.96,internal
0.80281,0.026125,19.862,-2.9447,-88.599,internal
0.98413,-0.003625,17.001,2.033,158.66,internal
0.47938,-0.055,23.033,1.3909,-305.65,internal
0.42237,-0.0575,18.101,0.6917,-310.5,internal
0.66481,-0.04025,26.721,2.2056,-207.78,internal
0.30406,0.06025,38.24,-0.013459,-533.22,internal
0.31212,-0.060125,21.583,-0.08773,-423.05,internal
0.737,0.0335,27.819,-2.9862,-142.4,internal
0.29206,0.06,0.0,0.0,-572.01,internal
0.91325,-0.014,28.12,3.663,65.046,internal
0.97737,-0.00475,9.525,1.6227,115.24,internal
0.17562,0.055875,25.312,1.0674,-623.01,internal
0.21519,0.058577,35.266,1.9354,-490.77,internal
0.98394,0.0038269,9.017,-2.0872,115.22,internal
0.81425,0.025,24.583,-3.0943,-58.669,internal
0.45031,-0.056,30.837,1.9624,-393.07,internal
0.17056,-0.055375,0.0,0.0,-831.64,internal
0.046062,0.03425,0.0,0.0,-569.39,internal
0.97812,-0.00475,21.112,2.9932,170.34,internal
0.54612,-0.049875,15.232,3.2267,-341.73,internal
0.009875,0.017,0.0,0.0,91.539,internal
0.002375,-0.008875,13.393,-19.138,1112.4,internal
0.025857,0.026846,37.125,17.649,-279.05,internal
0.030313,0.028625,18.345,8.1368,-359.01,internal
0.62619,0.0435,12.016,-2.6375,-225.55,internal
0.68375,-0.0395,27.358,2.5416,-185.18,internal
0.81125,-0.0255,22.855,2.4327,-69.898,internal
0.02525,0.0265,34.081,15.86,-216.23,internal
0.66688,0.039875,16.36,-2.739,-185.05,internal
0.71263,0.035375,0.0,0.0,-160.54,internal
0.62581,-0.043625,21.983,1.295,-264.88,internal
0.062563,0.03925,32.418,8.5338,-542.07,internal
0.72631,0.034,0.0,0.0,-116.58,internal
0.023937,-0.02575,24.274,-12.061,-330.66,internal
0.78275,0.02825,19.035,-1.9856,-82.918,internal
0.47113,-0.0555,29.801,1.6681,-355.29,internal
0.818,0.024375,19.486,-1.6805,-58.831,internal
0.0935,-0.047,53.446,-9.6026,-603.0,internal
0.24013,0.0595,40.019,0.52901,-616.43,internal
0.54556,0.049875,0.0,0.0,-307.8,internal
0.2105,0.05825,40.578,3.3282,-638.8,internal
1.148,-0.296,55.751,1.4903,41.658,internal
0.131,0.053,51.729,6.4959,-610.88,internal
0.083187,-0.043875,27.973,-6.2251,-699.4,internal
0.97456,-0.0050769,12.578,1.875,130.63,internal
0.046625,-0.0345,0.0,0.0,-572.08,internal
0.87706,0.01725,0.0,0.0,-13.153,internal
0.73756,-0.033125,21.775,2.1882,-116.11,internal
0.54838,-0.04975,10.286,0.3799,-208.91,internal
0.371,-0.059,0.0,0.0,-282.89,internal
0.43925,0.0565,23.886,-0.54315,-336.13,internal
0.016062,0.02125,0.0,0.0,-79.28,internal
0.16906,0.05525,0.0,0.0,-721.34,internal
0.60706,0.045,0.0,0.0,-296.23,internal
0.167,0.055,0.0,0.0,-524.91,internal
0.41581,-0.057625,31.024,1.265,-402.53,internal
0.032232,-0.029596,34.342,-13.547,-310.59,internal
0.42894,-0.057,14.743,-0.17756,-304.02,internal
0.37794,0.05875,0.0,0.0,-413.99,internal
0.80469,0.026077,24.986,-2.7436,-66.36,internal
0.59863,-0.045875,18.111,1.2974,-240.8,internal
0.24125,0.059375,36.463,1.478,-545.67,internal
0.86112,0.019375,9.3987,-0.80607,-9.7516,internal
0.248,0.52,57.684,0.87361,-81.077,internal
0.082062,-0.04375,24.404,-5.3662,-504.58,internal
0.005,0.012625,19.609,22.04,632.86,internal
0.11863,0.04975,0.0,0.0,-655.29,internal
0.84275,0.021625,16.798,-1.7414,-22.123,internal
0.15763,-0.054375,31.323,-5.0744,-675.68,internal
0.55869,0.049125,26.105,-1.7674,-272.06,internal
0.006125,0.013875,28.832,27.272,476.85,internal
0.13588,-0.05225,43.205,-5.1279,-653.03,internal
0.88288,-0.016625,0.0,0.0,15.975,internal
0.57987,-0.047375,18.101,1.2951,-237.32,internal
0.3545,-0.0595,30.005,0.24419,-464.15,internal
-0.772,-0.816,55.555,-0.31752,15.649,internal
0.47787,-0.054375,19.197,1.8578,-326.81,internal
0.23694,-0.059125,31.627,-0.46191,-559.52,internal
0.29019,0.06,0.0,0.0,-564.16,internal
0.73269,0.033375,0.0,0.0,-90.661,internal
0.72125,-0.0345,0.0,0.0,-185.6,internal
0.99275,-0.00175,13.363,2.6357,232.06,internal
0.22194,0.058625,32.676,0.57984,-691.99,internal
0.36463,-0.0595,36.734,0.65457,-456.61,internal
-0.532,0.104,55.063,0.29047,87.938,internal
0.56319,-0.0485,0.0,0.0,-241.66,internal
0.84106,-0.021625,0.0,0.0,-58.789,internal
0.87894,0.017125,0.0,0.0,-12.884,internal
0.596,0.046125,22.677,-1.3099,-276.33,internal
0.027687,-0.0275,17.997,-8.1134,-396.63,internal
0.89019,0.01575,0.0,0.0,-25.176,internal
0.26844,-0.059875,32.187,-0.060076,-547.78,internal
0.51688,-0.052,19.868,0.85872,-269.85,internal
0.44131,-0.056577,25.712,0.84893,-323.88,internal
0.22175,0.06,49.863,2.1866,-620.89,internal
0.5,0.536,57.673,-0.4416,-81.314,internal
0.35319,-0.059375,0.0,0.0,-425.15,internal
0.78725,0.028,22.611,-2.2933,-85.575,internal
0.32881,-0.059875,0.0,0.0,-538.88,internal
0.71094,-0.03575,23.562,2.5445,-210.06,internal
0.96575,0.006125,16.404,-1.7919,164.4,internal
0.66706,-0.03975,0.0,0.0,-118.58,internal
0.28531,0.06025,38.792,-0.063176,-590.85,internal
0.065375,0.0405,53.454,13.497,-666.51,internal
0.42144,0.057577,35.632,-1.8971,-414.76,internal
0.85906,-0.01975,9.1783,1.0502,-9.7162,internal
0.53394,-0.051077,29.87,2.539,-346.45,internal
-0.352,0.448,55.527,1.183,44.811,internal
0.65469,-0.041125,24.246,2.8458,-197.54,internal
0.18725,-0.057,29.506,-2.0157,-554.47,internal
0.54444,-0.05025,28.441,2.748,-334.46,internal
0.84444,0.021125,0.0,0.0,-49.092,internal
0.668,-0.04025,13.673,1.6002,-126.5,internal
0.61231,0.044625,0.0,0.0,-232.52,internal
0.002375,0.00925,15.659,23.696,1063.6,internal
0.812,-0.02525,23.938,2.8624,-54.092,internal
0.95262,-0.00825,23.818,3.1278,124.81,internal
0.63294,-0.043077,25.859,2.1647,-241.64,internal
0.98094,0.003875,0.0,0.0,139.93,internal
0.27312,-0.0605,34.671,-0.20857,-556.33,internal
0.037713,-0.032191,51.743,-19.188,-465.89,internal
0.73775,-0.034,28.316,2.8805,-136.44,internal
0.98806,0.002625,0.0,0.0,122.47,internal
0.75856,0.031,26.162,-2.4788,-122.54,internal
0.359,-0.0595,34.29,1.0255,-448.73,internal
0.42088,0.057125,0.0,0.0,-579.96,internal
0.049667,-0.036722,59.285,-18.103,-576.07,internal
0.90031,-0.01475,10.417,1.4953,16.222,internal
0.55381,0.04925,0.0,0.0,-269.39,internal
0.25512,0.05975,36.74,0.44745,-552.89,internal
0.96444,0.006125,0.0,0.0,145.98,internal
0.2945,0.06025,41.04,-0.009385,-564.96,internal
0.53338,0.051,28.431,-1.6871,-329.08,internal
0.53056,-0.050875,0.0,0.0,-312.94,internal
0.04775,-0.035,28.4,-8.7218,-450.52,internal
0.0035,-0.010375,0.0,0.0,698.22,internal
0.66312,-0.0405,26.432,2.2028,-190.82,internal
0.060875,0.0395,57.707,15.344,-638.31,internal
0.87969,-0.017125,16.171,1.53,27.599,internal
0.75762,0.0315,22.978,-2.459,-108.45,internal
0.028063,0.02775,31.323,14.144,-422.46,internal
0.37062,-0.059654,28.635,0.68401,-419.65,internal
0.28438,-0.06025,33.444,0.088513,-556.25,internal
0.84125,-0.0215,0.0,0.0,-43.467,internal
0.7415,0.032625,19.134,-1.6654,-128.0,internal
0.76812,0.029625,0.0,0.0,-130.36,internal
0.40925,-0.05775,20.597,3.286,-399.31,internal
0.39388,0.0585,33.035,-0.71148,-440.4,internal
0.83506,0.0225,19.311,-2.49,-39.848,internal
0.0245,-0.026,0.0,0.0,-446.06,internal
0.010062,-0.01725,18.786,-13.628,253.48,internal
0.98413,0.003625,16.546,-1.9753,158.9,internal
0.39687,-0.05825,23.054,0.57465,-399.93,internal
0.94906,0.008375,14.315,-2.0306,91.658,internal
0.61044,0.044875,16.708,-1.7942,-219.47,internal
0.62769,-0.0435,25.318,2.889,-282.91,internal
0.97156,0.005125,0.0,0.0,99.547,internal
0.35656,0.059375,0.0,0.0,-506.97,internal
0.47525,0.054625,23.97,-2.7099,-378.71,internal
0.0040625,-0.011375,16.277,-20.184,781.2,internal
0.62112,-0.043875,0.0,0.0,-251.34,internal
0.61437,-0.04475,22.924,2.0803,-237.04,internal
0.04175,-0.033125,34.509,-12.388,-490.4,internal
0.033687,-0.030125,28.25,-12.105,-528.25,internal
0.71225,-0.035375,0.0,0.0,-241.04,internal
0.17956,0.05625,33.484,2.4332,-564.28,internal
0.62337,0.043625,0.0,0.0,-312.24,internal
0.15969,-0.05475,42.172,-3.6687,-649.02,internal
0.52831,-0.05125,10.677,-0.91215,-211.07,internal
0.39669,-0.058125,0.0,0.0,-375.29,internal
0.37306,-0.058875,0.0,0.0,-371.13,internal
0.41787,-0.05775,30.204,1.8309,-433.97,internal
0.67944,-0.038625,0.0,0.0,-176.76,internal
0.062417,-0.040222,58.327,-14.976,-619.9,internal
0.88944,-0.015875,13.647,3.0735,-20.719,internal
0.98394,0.0035,0.0,0.0,157.48,internal
0.176,-0.05575,0.0,0.0,-592.46,internal
0.99275,0.001625,0.0,0.0,254.83,internal
0.12106,-0.05,0.0,0.0,-535.34,internal
1.568,-0.896,55.719,0.75019,-0.19867,internal
0.90481,0.013875,0.0,0.0,87.187,internal
0.89281,0.0155,17.43,-2.3062,38.94,internal
0.68413,0.0385,17.455,-1.7482,-153.68,internal
0.12406,-0.050375,0.0,0.0,-523.76,internal
0.46644,0.05525,29.287,-2.5772,-397.0,internal
0.6935,0.037375,15.599,-1.7332,-141.17,internal
0.99575,0.00125,14.503,-3.0945,262.24,internal
0.971,-0.005375,10.43,1.9422,153.07,internal
0.521,-0.0515,0.0,0.0,-426.71,internal
0.96162,0.0065,0.0,0.0,136.61,internal
0.43512,-0.05675,28.153,1.7756,-370.67,internal
0.61269,-0.044625,0.0,0.0,-263.72,internal
0.953,0.007625,0.0,0.0,97.659,internal
0.99612,0.001125,11.033,-2.5306,209.08,internal
0.29638,-0.060125,37.797,-0.0078223,-557.33,internal
0.5525,-0.0495,26.227,1.5018,-301.66,internal
0.88662,-0.016375,19.875,2.1954,21.872,internal
0.75519,-0.03125,24.431,2.7346,-154.52,internal
0.77206,-0.029375,14.723,2.5939,-82.148,internal
0.29919,-0.06025,41.371,-0.0032415,-556.01,internal
0.10325,0.047625,32.403,5.0876,-609.66,internal
0.76944,-0.0295,0.0,0.0,-84.441,internal
0.98263,0.00425,14.07,-2.0877,146.17,internal
0.32225,0.060125,38.95,-0.12462,-513.63,internal
0.8405,-0.02225,19.239,2.3797,-41.164,internal
0.95656,-0.0075,21.803,2.9975,133.71,internal
0.79381,0.027327,23.135,-2.7397,-87.453,internal
0.27556,0.060327,29.673,0.056711,-515.08,internal
0.82269,0.02375,0.0,0.0,-101.32,internal
0.0059375,0.013125,0.0,0.0,642.1,internal
0.55287,-0.050154,28.544,2.2287,-288.38,internal
0.76756,0.029875,15.798,-1.8451,-78.855,internal
0.60275,0.045625,23.656,-2.6003,-245.87,internal
0.58119,-0.0475,24.898,1.9404,-250.54,internal
0.99219,-0.0020769,16.11,3.3908,229.39,internal
0.51669,0.051875,0.0,0.0,-319.34,internal
0.20562,-0.058,39.367,-3.3199,-637.79,internal
0.6485,0.0415,0.0,0.0,-220.38,internal
0.02225,-0.02475,0.0,0.0,-312.86,internal
0.88587,0.017,27.335,-3.4899,13.639,internal
-0.00036538,0.001125,1.7108,3.1196,1295.5,internal
0.26188,-0.05975,32.725,-0.46924,-521.74,internal
0.26019,0.06,37.753,0.19231,-578.58,internal
0.69313,-0.038154,21.785,2.1532,-160.71,internal
0.58513,0.04725,28.828,-1.9137,-290.8,internal
0.66744,0.040077,27.98,-2.4245,-204.26,internal
0.88625,-0.017,26.718,3.3948,12.058,internal
0.95806,-0.00725,21.372,2.6224,156.78,internal
0.38806,-0.05875,16.435,0.14322,-326.83,internal
0.88719,0.01625,20.175,-2.5017,-12.311,internal
-0.352,0.192,54.714,1.0526,104.05,internal
0.01325,0.01975,32.002,21.405,65.547,internal
0.47938,-0.054375,27.44,2.024,-424.27,internal
0.66462,-0.04025,11.522,0.48583,-112.48,internal
0.8105,0.0255,24.582,-2.8801,-66.819,internal
0.35019,-0.05975,33.337,0.24876,-476.54,internal
0.74244,-0.0325,14.798,1.696,-85.737,internal
0.22287,0.059154,45.33,1.6365,-613.75,internal
0.18744,0.056625,0.0,0.0,-554.77,internal
0.11038,-0.04875,36.704,-5.1712,-643.77,internal
0.605,-0.0455,27.06,2.0283,-252.88,internal
0.78706,-0.02775,12.247,2.217,-56.178,internal
0.173,0.0555,0.0,0.0,-577.47,internal
0.44113,0.05625,0.0,0.0,-400.39,internal
0.39594,0.058375,27.976,-2.5201,-435.13,internal
0.010482,-0.017846,35.268,-27.149,148.7,internal
0.80413,-0.025875,12.026,2.0875,-54.467,internal
0.81069,0.025,0.0,0.0,-93.73,internal
0.99029,0.0026111,17.018,-3.6624,201.46,internal
0.31081,0.060125,31.184,-0.0065372,-494.81,internal
0.50431,0.05275,16.405,-2.6831,-318.64,internal
0.21181,-0.058,0.0,0.0,-508.46,internal
0.60838,-0.045654,31.069,2.6467,-257.77,internal
0.212,-0.058,0.0,0.0,-446.35,internal
0.99575,-0.001,0.0,0.0,221.4,internal
0.12594,0.050875,31.69,5.836,-695.54,internal
0.6635,0.040125,0.0,0.0,-203.84,internal
0.0905,0.045125,0.0,0.0,-572.88,internal
0.0725,-0.0415,0.0,0.0,-634.83,internal
0.46719,0.055125,29.103,-1.4033,-362.34,internal
0.4535,0.05575,17.853,-0.28196,-304.44,internal
0.68,0.0385,0.0,0.0,-208.69,internal
0.09125,0.04525,0.0,0.0,-553.97,internal
0.72537,-0.034375,14.624,1.2972,-121.49,internal
0.587,0.04725,19.647,-1.6428,-238.91,internal
0.77244,0.0295,18.229,-1.74,-89.653,internal
0.90462,0.01425,22.728,-2.9128,39.017,internal
-0.436,-0.704,55.63,-0.80421,20.166,internal
0.716,-0.035,0.0,0.0,-251.87,internal
0.58006,-0.0475,28.587,1.9158,-294.07,internal
0.74675,-0.032125,8.6217,1.5199,-68.403,internal
0.34719,0.05975,33.99,-0.86921,-459.97,internal
0.056938,-0.03775,29.258,-8.6959,-533.03,internal
0.9845,0.00375,20.845,-3.7082,147.35,internal
0.48875,0.054,28.052,-1.5022,-339.99,internal
0.06125,-0.0395,26.226,-7.3174,-433.22,internal
0.52513,0.052,30.816,-2.1223,-342.59,internal
-6.25e-05,-0.0005,0.0,0.0,1420.4,internal
0.91981,-0.012125,16.742,2.0838,95.237,internal
0.40175,0.05825,30.266,-0.7902,-448.71,internal
0.224,0.36,58.875,1.6438,-140.29,internal
0.54462,-0.05025,29.093,2.5846,-311.3,internal
0.21162,0.058125,30.484,0.27855,-635.94,internal
0.33237,-0.059875,33.555,0.24099,-492.87,internal
0.071562,0.041577,38.15,8.8229,-571.79,internal
0.096875,-0.047,46.305,-7.9475,-609.74,internal
1.376,0.216,55.758,-0.68575,45.779,internal
0.96912,-0.00575,18.631,2.5889,160.63,internal
0.46775,-0.0555,29.369,1.3941,-353.01,internal
0.70138,-0.03675,23.601,2.2869,-160.86,internal
0.0035,-0.010625,17.979,-22.314,989.26,internal
0.413,-0.05775,31.02,1.1441,-400.42,internal
0.00875,-0.016125,17.772,-15.086,347.82,internal
0.35975,0.059375,28.667,-0.34279,-455.1,internal
0.59581,0.046125,18.201,-0.89288,-240.52,internal
0.53919,0.0505,25.475,-2.822,-353.53,internal
0.46831,-0.055077,25.416,1.3323,-363.76,internal
0.78931,0.02775,17.616,-2.0845,-60.176,internal
0.4565,0.0555,0.0,0.0,-234.59,internal
0.60838,0.0455,29.229,-2.5119,-260.84,internal
0.049625,-0.0355,0.0,0.0,-338.06,internal
0.94944,-0.0085,23.353,3.2306,113.4,internal
0.56056,0.049077,29.751,-2.1276,-282.73,internal
0.72781,0.03425,14.673,-1.3794,-113.55,internal
0.5915,-0.046375,0.0,0.0,-168.44,internal
0.59919,0.046,21.103,-1.4584,-242.62,internal
0.10344,0.04775,36.504,6.1456,-608.65,internal
0.1535,-0.053875,17.99,-3.9807,-532.46,internal
0.137,0.06,62.12,8.627,-565.33,internal
0.33425,0.05975,0.0,0.0,-457.56,internal
0.70531,-0.03625,17.204,1.41,-142.78,internal
0.79738,-0.026625,13.332,2.3304,-57.586,internal
0.35975,-0.05925,0.0,0.0,-354.38,internal
0.39444,-0.058375,28.507,0.33299,-452.52,internal
0.13887,-0.052375,20.307,-1.6188,-551.92,internal
0.086375,0.0445,28.471,6.0488,-605.42,internal
0.57987,-0.04725,0.0,0.0,-259.18,internal
0.185,0.056625,23.226,4.2804,-494.11,internal
0.15583,0.056444,58.135,5.8645,-647.83,internal
0.66256,0.04025,15.347,-3.236,-236.61,internal
0.47731,-0.05425,0.0,0.0,-436.35,internal
0.9305,0.010625,0.0,0.0,109.61,internal
0.233,-0.059,29.592,-0.30411,-539.53,internal
0.15725,0.054375,31.925,3.3756,-555.9,internal
0.6395,-0.04275,15.462,1.3832,-167.17,internal
0.7835,0.028,0.0,0.0,-131.4,internal
0.63931,0.0425,18.866,-2.022,-197.71,internal
0.77975,-0.029,26.834,2.9527,-95.893,internal
0.84556,-0.02125,21.033,2.8934,-45.289,internal
0.61137,-0.045654,26.883,2.307,-234.22,internal
0.66219,-0.04025,0.0,0.0,-211.68,internal
0.44,-0.76,56.579,0.079482,-36.231,internal
0.45781,0.05575,27.784,-1.4258,-342.59,internal
0.97681,-0.00475,20.402,2.6208,177.27,internal
0.51875,0.0525,32.875,-2.159,-365.44,internal
0.62844,-0.0435,18.913,1.323,-198.24,internal
0.037625,-0.0315,0.0,0.0,-529.79,internal
0.12481,0.050827,39.407,5.7298,-595.11,internal
0.82269,0.024,20.904,-2.4536,-51.72,internal
0.40288,-0.058654,38.531,1.6818,-449.57,internal
0.2615,-0.059875,24.959,-0.34326,-466.68,internal
0.93388,-0.01025,13.564,3.1523,77.123,internal
0.347,0.0595,0.0,0.0,-459.21,internal
0.60088,-0.04575,18.26,1.568,-245.05,internal
0.55306,-0.0495,26.905,2.9975,-338.28,internal
0.20019,-0.057375,0.0,0.0,-594.1,internal
0.87331,-0.01775,0.0,0.0,41.066,internal
0.92787,-0.011125,9.3241,1.2709,55.097,internal
0.027875,0.02775,37.258,16.849,-414.68,internal
0.15538,-0.05425,27.525,-2.2713,-554.01,internal
0.6605,-0.0405,21.809,1.7297,-188.75,internal
-0.544,-0.248,55.251,-0.55673,72.427,internal
0.56075,-0.0495,32.659,2.5495,-288.54,internal
0.80844,-0.0255,20.262,2.7884,-96.159,internal
0.046625,-0.034625,21.083,-7.8024,-586.61,internal
0.35094,-0.059625,29.378,0.13656,-473.09,internal
0.92356,0.011625,16.861,-2.0402,102.39,internal
0.59038,0.0465,7.8022,-1.6859,-188.78,internal
0.53319,-0.05075,0.0,0.0,-240.02,internal
0.33088,0.059875,26.459,-1.4738,-451.69,internal
0.40175,0.058,0.0,0.0,-469.99,internal
0.3035,0.06,0.0,0.0,-529.37,internal
0.92563,-0.012,20.149,2.7929,80.908,internal
0.49794,-0.05325,26.32,2.245,-386.14,internal
0.13044,-0.051577,34.074,-4.0109,-570.49,internal
0.76381,-0.030375,14.429,1.7998,-80.742,internal
1.148,-0.392,55.973,1.3862,23.642,internal
0.18387,-0.056375,0.0,0.0,-677.51,internal
0.602,-0.046,27.118,2.1385,-252.31,internal
0.83656,0.02225,19.89,-1.9258,-44.706,internal
0.057687,0.03775,0.0,0.0,-557.41,internal
0.91475,0.012875,21.998,-2.6594,85.47,internal
0.85006,-0.0205,0.0,0.0,-15.711,internal
0.000125,0.00225,0.0,0.0,940.88,internal
0.88644,0.016375,19.928,-2.8088,23.491,internal
0.95225,-0.008,9.7255,1.442,91.667,internal
0.8375,0.022125,14.509,-1.245,-30.155,internal
0.5195,0.052,22.918,-1.8499,-283.96,internal
0.004625,-0.012375,23.411,-27.346,667.54,internal
0.05825,0.03825,37.318,10.055,-524.82,internal
0.40062,0.058125,24.312,-0.35247,-414.67,internal
-0.64,0.416,55.477,0.50095,50.052,internal
0.13962,-0.0525,34.888,-3.8777,-690.4,internal
0.39181,0.058375,0.0,0.0,-534.19,internal
-0.616,-0.928,55.546,-0.51936,7.2601,internal
0.32019,0.06,27.892,-0.22147,-465.48,internal
0.698,0.036875,0.0,0.0,-155.95,internal
0.65863,0.04075,25.621,-2.8923,-224.44,internal
0.8315,-0.023,15.586,2.0829,-43.306,internal
0.45894,0.055375,0.0,0.0,-297.16,internal
0.29581,0.06025,40.461,-0.00046589,-557.11,internal
0.83094,0.022875,16.499,-2.0481,-35.808,internal
0.57425,0.0485,34.634,-2.7027,-316.32,internal
0.61494,0.044625,23.825,-2.1174,-242.88,internal
0.95375,0.00775,21.305,-2.8562,115.34,internal
0.38113,0.05925,24.095,-1.1502,-391.58,internal
0.0070625,-0.014625,18.462,-16.93,415.63,internal
0.12162,-0.050125,0.0,0.0,-524.88,internal
0.34363,-0.06,38.485,0.19705,-509.1,internal
0.0096875,0.01675,0.0,0.0,430.87,internal
0.62075,0.044125,23.694,-2.0329,-249.68,internal
0.84387,0.0215,21.9,-2.5761,-24.156,internal
0.42763,-0.057125,27.548,0.87393,-378.87,internal
0.2045,-0.057875,30.833,-0.43307,-549.34,internal
0.254,-0.0595,0.0,0.0,-601.85,internal
0.088625,0.0455,43.766,8.3524,-593.05,internal
0.84913,-0.02125,25.079,2.8994,-28.168,internal
0.93313,-0.011,20.936,2.8265,83.427,internal
0.13761,0.052346,32.14,3.4804,-623.94,internal
0.84856,-0.02075,0.0,0.0,-42.937,internal
0.022813,-0.025125,0.0,0.0,-49.071,internal
0.83562,-0.022375,16.262,2.0978,-53.35,internal
0.80319,-0.025875,0.0,0.0,-37.673,internal
0.79344,0.027,0.0,0.0,-96.475,internal
0.64887,-0.041625,23.206,3.0898,-235.32,internal
0.74502,0.032346,23.795,-2.078,-135.43,internal
0.98637,-0.0035,14.702,3.2016,147.69,internal
0.0040192,-0.01275,28.608,-31.359,805.81,internal
-0.001,0.00225,3.7192,5.9842,1361.3,internal
0.78294,-0.02825,18.245,1.6909,-86.698,internal
0.76719,0.03,21.56,-2.8395,-133.87,internal
0.38731,-0.058827,25.964,0.49615,-398.84,internal
0.65581,-0.040875,15.75,3.3215,-243.91,internal
0.82512,-0.023375,0.0,0.0,-35.015,internal
0.70175,0.036625,19.259,-1.3725,-167.6,internal
0.248,0.944,55.801,0.36582,-7.2579,internal
0.54988,-0.04975,18.782,1.6253,-267.11,internal
0.20131,0.05775,35.15,1.8002,-616.64,internal
0.00725,-0.01575,30.82,-27.775,394.53,internal
0.55944,0.048875,0.0,0.0,-279.25,internal
0.095375,-0.046,0.0,0.0,-519.35,internal
0.66237,-0.040375,23.981,2.4064,-239.73,internal
0.97513,0.00475,0.0,0.0,151.89,internal
0.38487,0.059154,38.112,-1.6838,-488.82,internal
0.31662,0.06,0.0,0.0,-567.65,internal
0.94344,-0.00925,23.492,3.4178,111.43,internal
0.42519,-0.057125,26.41,0.64286,-398.14,internal
0.57706,0.047625,19.692,-1.0099,-241.46,internal
0.4835,-0.05425,27.428,1.5342,-385.53,internal
0.926,-0.01175,16.015,2.3448,73.178,internal
0.13175,-0.05175,22.644,-3.6276,-449.93,internal
0.30387,-0.06,0.0,0.0,-538.61,internal
0.019458,0.023861,45.708,25.129,-175.0,internal
0.063688,0.039375,0.0,0.0,-469.04,internal
0.59994,-0.045625,0.0,0.0,-220.08,internal
-0.94,0.784,55.555,0.084083,18.104,internal
0.45819,0.0555,25.423,-0.9535,-375.32,internal
0.83431,-0.022375,0.0,0.0,-30.225,internal
-0.58,0.36,55.408,0.58848,57.466,internal
0.039875,-0.032375,19.787,-7.8748,-631.23,internal
0.014,0.0205,37.656,24.845,62.158,internal
0.968,0.005625,0.0,0.0,113.37,internal
0.43363,-0.056625,0.0,0.0,-410.92,internal
0.37887,-0.059,32.331,0.46607,-443.28,internal
0.82288,0.023625,0.0,0.0,-69.687,internal
0.15819,0.0545,38.181,2.7855,-647.07,internal
0.71356,-0.0355,22.965,2.4306,-214.67,internal
0.48463,0.0545,32.068,-1.7596,-351.6,internal
0.84088,-0.02175,19.072,2.3895,-28.24,internal
0.63575,0.04325,27.527,-2.3457,-224.96,internal
0.12425,-0.05075,38.573,-5.3496,-613.9,internal
-0.00025,0.00025,1.6296,0.73061,1101.3,internal
0.67625,0.038875,0.0,0.0,-174.8,internal
0.44825,0.056125,31.085,-1.388,-420.18,internal
0.26431,0.05975,0.0,0.0,-645.9,internal
0.74375,0.03275,18.833,-1.921,-92.137,internal
0.116,-0.05,48.207,-6.8143,-628.85,internal
0.99514,-0.0013456,14.381,3.3028,261.01,internal
0.81575,0.024625,15.354,-1.2463,-49.731,internal
0.35675,0.06,33.911,-0.53028,-464.18,internal
0.11338,0.049,0.0,0.0,-663.89,internal
0.47769,-0.0545,28.865,2.4357,-369.96,internal
0.58737,0.04675,13.11,-2.2174,-228.56,internal
0.34212,0.05975,18.513,0.039402,-385.88,internal
0.34925,0.059625,31.487,-0.16257,-480.64,internal
0.75762,0.0315,29.187,-3.1393,-118.96,internal
1.676,-0.216,56.211,0.35255,20.473,internal
0.97419,-0.005,16.089,2.3524,155.49,internal
0.82475,-0.0235,0.0,0.0,-80.703,internal
0.57214,-0.048096,26.739,1.5481,-278.71,internal
0.53975,0.051,25.954,-1.8326,-288.63,internal
0.74206,-0.032375,0.0,0.0,-169.73,internal
0.62262,0.043875,19.649,-1.2023,-248.62,internal
0.53113,0.05125,21.477,-1.2351,-279.52,internal
0.7175,0.03525,22.237,-2.4459,-153.99,internal
0.52719,0.0515,28.895,-2.1217,-334.31,internal
-0.016,-0.232,56.329,-4.4698,4.2289,internal
1.34,0.592,55.948,-0.93276,10.87,internal
0.080375,-0.043375,32.931,-7.7203,-592.61,internal
0.39463,0.058375,25.307,-0.26171,-416.23,internal
0.47131,-0.055077,32.644,1.96,-363.6,internal
0.016812,-0.021875,18.377,-9.9975,-163.72,internal
0.020938,0.024125,0.0,0.0,-222.43,internal
0.063688,-0.03925,0.0,0.0,-589.49,internal
0.71469,0.035375,16.201,-1.8168,-146.91,internal
0.13794,-0.052125,0.0,0.0,-502.65,internal
0.41994,-0.057375,27.468,0.41636,-411.51,internal
0.56,0.736,56.63,-0.43126,-37.389,internal
0.93988,-0.0095,17.961,2.7597,130.18,internal
0.63706,-0.04275,23.394,1.8615,-218.28,internal
0.42144,-0.057375,25.098,1.6215,-369.46,internal
0.23375,-0.059125,27.983,-2.9401,-435.7,internal
0.0215,-0.0245,0.0,0.0,-130.59,internal
0.70475,-0.036375,21.78,2.9831,-194.36,internal
0.89994,-0.0145,0.0,0.0,51.12,internal
0.512,-0.052375,23.84,2.4124,-326.96,internal
0.11488,0.050154,54.29,8.046,-622.11,internal
0.33969,0.05975,28.798,-1.2027,-465.01,internal
