x,y,U,V,p,patch
0.16887,0.05525,0.0,0.0,-524.34,foil
0.16306,-0.05475,0.0,0.0,-715.02,foil
0.12687,-0.05075,0.0,0.0,-543.47,foil
0.26994,-0.05975,0.0,0.0,-472.8,foil
0.74619,-0.032,0.0,0.0,-120.8,foil
0.74319,0.03225,0.0,0.0,-211.44,foil
0.26769,-0.05975,0.0,0.0,-543.06,foil
0.38281,0.058625,0.0,0.0,-375.46,foil
0.077188,0.0425,0.0,0.0,-691.44,foil
0.22437,-0.058625,0.0,0.0,-779.56,foil
0.28962,-0.06,0.0,0.0,-327.85,foil
0.63481,-0.042625,0.0,0.0,-260.41,foil
0.07325,0.041625,0.0,0.0,-653.91,foil
0.027875,0.0275,0.0,0.0,-175.75,foil
0.98637,0.003,0.0,0.0,183.12,foil
0.13512,0.051875,0.0,0.0,-655.02,foil
0.66594,0.039875,0.0,0.0,-155.84,foil
0.46194,0.055125,0.0,0.0,-451.54,foil
0.52831,-0.051,0.0,0.0,-371.62,foil
0.917,0.012375,0.0,0.0,78.623,foil
0.99612,-0.000875,0.0,0.0,236.78,foil
0.53319,-0.05075,0.0,0.0,-296.63,foil
0.61794,-0.044125,0.0,0.0,-188.82,foil
0.015875,0.02125,0.0,0.0,19.187,foil
0.34625,0.0595,0.0,0.0,-597.37,foil
0.068187,0.040375,0.0,0.0,-516.73,foil
0.8045,0.02575,0.0,0.0,-52.487,foil
0.0785,-0.04275,0.0,0.0,-618.7,foil
0.12481,-0.0505,0.0,0.0,-529.03,foil
0.0081875,-0.0155,0.0,0.0,430.76,foil
0.53188,-0.050875,0.0,0.0,-347.69,foil
0.011,0.017875,0.0,0.0,146.4,foil
0.56169,-0.048625,0.0,0.0,-230.48,foil
0.99687,-0.000625,0.0,0.0,245.77,foil
0.98131,0.003875,0.0,0.0,180.92,foil
0.52775,0.051125,0.0,0.0,-341.01,foil
0.17656,0.055875,0.0,0.0,-672.55,foil
0.74319,-0.032375,0.0,0.0,-185.99,foil
0.9125,-0.012875,0.0,0.0,33.238,foil
0.97962,0.004125,0.0,0.0,175.84,foil
0.048875,0.035125,0.0,0.0,-488.3,foil
0.020188,0.02375,0.0,0.0,-137.42,foil
0.155,-0.053875,0.0,0.0,-509.77,foil
0.30425,-0.06,0.0,0.0,-524.25,foil
0.050937,0.035875,0.0,0.0,-371.43,foil
0.50956,0.052375,0.0,0.0,-328.2,foil
0.0014375,0.006375,0.0,0.0,1252.3,foil
0.68413,0.038125,0.0,0.0,-228.64,foil
0.098375,-0.0465,0.0,0.0,-535.3,foil
0.005,0.01225,0.0,0.0,541.24,foil
0.20094,-0.057375,0.0,0.0,-458.76,foil
0.9545,0.0075,0.0,0.0,139.59,foil
0.21575,0.05825,0.0,0.0,-457.97,foil
0.1745,-0.055625,0.0,0.0,-582.67,foil
0.089375,-0.044875,0.0,0.0,-532.29,foil
0.84706,0.020875,0.0,0.0,-6.9906,foil
0.84406,0.02125,0.0,0.0,-27.715,foil
0.65,0.041375,0.0,0.0,-256.7,foil
0.03425,0.030125,0.0,0.0,-498.92,foil
0.39425,0.05825,0.0,0.0,-428.63,foil
0.013063,-0.019375,0.0,0.0,100.76,foil
0.95656,0.007125,0.0,0.0,84.537,foil
0.8645,0.018875,0.0,0.0,-43.58,foil
0.84425,0.021125,0.0,0.0,-77.784,foil
0.86581,-0.018625,0.0,0.0,-2.353,foil
0.77825,0.028625,0.0,0.0,-75.749,foil
0.79194,0.027125,0.0,0.0,-49.129,foil
0.74187,0.0325,0.0,0.0,-162.21,foil
0.52794,0.051125,0.0,0.0,-347.16,foil
0.85475,0.02,0.0,0.0,0.0024451,foil
0.93687,0.00975,0.0,0.0,57.887,foil
0.33163,-0.05975,0.0,0.0,-447.92,foil
0.21181,-0.058,0.0,0.0,-596.88,foil
0.27631,-0.059875,0.0,0.0,-374.13,foil
0.027687,0.027375,0.0,0.0,-252.15,foil
0.99725,0.000625,0.0,0.0,255.96,foil
0.29806,-0.06,0.0,0.0,-541.59,foil
0.95581,-0.00725,0.0,0.0,111.58,foil
0.28137,-0.059875,0.0,0.0,-427.49,foil
0.034812,0.030375,0.0,0.0,-372.42,foil
0.55025,-0.0495,0.0,0.0,-267.94,foil
0.45669,0.0555,0.0,0.0,-432.7,foil
